,diversion_mean,diversion_std,irr_pumping_mean,irr_pumping_std,USGS_irr,pump_diff,Minersville_discharge
1990,51922.0,19694.0,44229.0,18145.0,41000.0,3229.0,12696.0
1991,51060.0,19367.0,41881.0,17640.0,47500.0,-5619.0,14183.0
1992,54261.0,20581.0,44503.0,18790.0,35400.0,9103.0,14764.0
1993,59563.0,22592.0,44583.0,22553.0,44700.0,-117.0,27331.0
1994,60828.0,23072.0,46588.0,22214.0,52400.0,-5812.0,20607.0
1995,48802.0,18511.0,33802.0,18511.0,46200.0,-12398.0,41321.0
1996,59234.0,22467.0,44267.0,22408.0,44600.0,-333.0,26483.0
1997,50888.0,19302.0,35916.0,19250.0,45000.0,-9084.0,26743.0
1998,47640.0,18070.0,32640.0,18070.0,32700.0,-60.0,51149.0
1999,47631.0,18066.0,32631.0,18066.0,31800.0,831.0,50898.0
2000,56735.0,21519.0,49412.0,20015.0,39600.0,9812.0,12326.0
2020,72943.0,27667.0,58336.0,27149.0,46863.0,11473.0,21939.0
2021,58799.0,22303.0,57528.0,21536.0,47423.0,10105.0,6273.0
2022,59246.0,22472.0,58711.0,21795.0,52662.0,6049.0,5536.0
2023,63334.0,24023.0,48373.0,23954.0,38735.0,9638.0,26195.0
2024,67080.0,25443.0,52126.0,25362.0,,,25862.0
