obid,time,peff,etaw,et,pr
0,2023-01-01,48.589,0.0,7.179,48.666
1,2023-01-01,48.984,0.0,6.006,49.117
2,2023-01-01,50.022,0.0,4.646,50.237
3,2023-01-01,50.529,0.0,3.625,50.76
4,2023-01-01,48.705,0.0,7.507,49.513
5,2023-01-01,50.141,0.0,3.874,50.357
6,2023-01-01,50.321,0.0,5.048,50.542
7,2023-01-01,50.255,0.0,3.519,50.474
8,2023-01-01,50.213,0.0,2.224,50.431
9,2023-01-01,50.395,0.0,4.539,50.635
10,2023-01-01,50.31,0.0,4.283,50.528
11,2023-01-01,50.171,0.0,5.031,50.536
12,2023-01-01,50.191,0.0,4.759,50.546
13,2023-01-01,50.059,0.0,2.841,50.551
14,2023-01-01,50.281,0.0,3.102,50.513
15,2023-01-01,50.404,0.0,4.575,50.625
16,2023-01-01,50.36,0.0,2.833,51.338
17,2023-01-01,50.295,0.0,2.662,51.273
18,2023-01-01,49.193,0.0,2.939,50.216
